iter	Logloss
0	0.6244950775
1	0.5741603341
2	0.5388324259
3	0.5131184496
4	0.492200682
5	0.4750991947
6	0.4626059734
7	0.4512389661
8	0.4430049968
9	0.4354348345
10	0.4305071982
11	0.4274251708
12	0.4234020308
13	0.4206293298
14	0.4184965228
15	0.4166477274
16	0.4146810336
17	0.4133888865
18	0.4113100602
19	0.4100729277
20	0.4088305895
21	0.4073461477
22	0.4068933308
23	0.4057518731
24	0.4044670233
25	0.4036344702
26	0.403006874
27	0.4022847105
28	0.4013075779
29	0.4005841454
30	0.4000663013
31	0.3995534481
32	0.398648633
33	0.3977649076
34	0.3973682463
35	0.3968833345
36	0.3961219165
37	0.3956474639
38	0.3949016416
39	0.3942645196
40	0.3935266396
41	0.3927927761
42	0.3922062199
43	0.3918699034
44	0.3913048487
45	0.3905098605
46	0.3901251183
47	0.3896431095
48	0.3890374777
49	0.3885375867
50	0.38827614
51	0.3879694169
52	0.3874395678
53	0.3868072744
54	0.3860832586
55	0.3855700849
56	0.3849167439
57	0.3841763424
58	0.3836031132
59	0.3832169598
60	0.3825419107
61	0.3822352979
62	0.3819263476
63	0.3814062015
64	0.3810777808
65	0.3803798828
66	0.3797503568
67	0.3790423937
68	0.3785306254
69	0.3781576502
70	0.3776366001
71	0.3771391242
72	0.3768686128
73	0.3766081029
74	0.3761510571
75	0.3754859753
76	0.37472049
77	0.374375697
78	0.373915101
79	0.3733868999
80	0.372797422
81	0.372599096
82	0.3722324761
83	0.3716642782
84	0.3713096622
85	0.3706847069
86	0.3704051286
87	0.3699721785
88	0.3694879196
89	0.3693285745
90	0.3689748421
91	0.3684273378
92	0.36792196
93	0.3674406697
94	0.3670206441
95	0.3666320008
96	0.3659569269
97	0.365632611
98	0.365046827
99	0.3647197561
100	0.3643187006
101	0.3640766368
102	0.3634598736
103	0.3629473772
104	0.362405192
105	0.3621286794
106	0.361587954
107	0.3612422873
108	0.3609222458
109	0.3605315045
110	0.3602570499
111	0.3598935374
112	0.359421014
113	0.3591258082
114	0.3586667449
115	0.3583016071
116	0.357906389
117	0.3573684146
118	0.3567936632
119	0.356349042
120	0.3560808579
121	0.3556288821
122	0.3550881808
123	0.3546312452
124	0.3540974055
125	0.3538234455
126	0.3534662847
127	0.3530450126
128	0.3525123338
129	0.3521447892
130	0.3516482128
131	0.3512811367
132	0.3507902064
133	0.3502693302
134	0.3499641119
135	0.3495499008
136	0.3491701216
137	0.3487710945
138	0.3482579634
139	0.3478235713
140	0.3474657681
141	0.3469935307
142	0.3464890039
143	0.3462247728
144	0.3458937109
145	0.3455972562
146	0.3451245674
147	0.3447653454
148	0.3444591615
149	0.3439625221
150	0.3436264313
151	0.3431410482
152	0.3426863045
153	0.3422839795
154	0.3419509973
155	0.3414099972
156	0.3409664356
157	0.3405978975
158	0.3400305324
159	0.3395469769
160	0.3392238496
161	0.3388072897
162	0.3381637788
163	0.337797518
164	0.3372162133
165	0.3368140045
166	0.3364735413
167	0.3359697528
168	0.3353252874
169	0.3348153073
170	0.334330202
171	0.3338660495
172	0.3334140343
173	0.3331023225
174	0.3325496466
175	0.3321688304
176	0.3316542095
177	0.3312955829
178	0.3309084302
179	0.3306197853
180	0.3302788845
181	0.3299217779
182	0.3296374374
183	0.3291799445
184	0.3288823312
185	0.3285326457
186	0.328093959
187	0.3276815008
188	0.3274660205
189	0.3271186625
190	0.326758345
191	0.3265768226
192	0.3261659488
193	0.325632481
194	0.3251714711
195	0.3247109201
196	0.3240908133
197	0.3237436698
198	0.3233632271
199	0.322987699
